Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,75,RL,,7387,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,8,2000,1998,Gable,CompShg,HdBoard,HdBoard,None,-47.636564357052784,Gd,TA,PConc,Gd,TA,No,GLQ,700,Unf,-1,63,629,GasA,Fa,Y,SBrkr,487,1197,1,1305,1,0,2,2,2,1,Gd,6,Typ,1,Gd,Attchd,1985.218479805504,RFn,1,195,TA,TA,Y,185,119,3,2,-27,-6,,,,130,3,2007,WD,Normal,182596
1,40,RL,63.126273215120314,10907,Grvl,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,6,5,1949,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,171.46824619952804,TA,TA,CBlock,TA,TA,Gd,ALQ,426,Unf,35,761,1354,GasA,TA,Y,SBrkr,1219,133,-4,1446,1,0,1,1,2,1,Ex,6,Typ,2,Gd,Detchd,1924.160857211394,Unf,2,382,TA,TA,Y,3,12,4,-5,-4,5,,,,-85,11,2007,CWD,Normal,206618
2,23,RL,64.98987397506394,7803,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,8,5,2012,2006,Gable,CompShg,VinylSd,VinylSd,Stone,-11.767361844164114,Gd,TA,PConc,Gd,TA,Av,GLQ,775,Unf,-23,658,1230,GasA,Ex,Y,SBrkr,1009,68,-2,1226,1,0,2,0,2,1,Gd,6,Typ,0,,,,,1,525,,,Y,26,68,-13,9,23,-3,,,,62,3,2009,New,Partial,226065
3,12,RL,92.55491667640564,16655,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1923,1967,Hip,CompShg,MetalSd,MetalSd,None,-18.99248655219232,TA,Gd,CBlock,TA,TA,No,LwQ,410,Unf,52,359,885,GasW,TA,Y,SBrkr,1220,492,-2,1734,0,1,1,1,3,1,TA,8,Typ,1,Gd,Detchd,1934.3765018300198,Unf,1,368,TA,TA,Y,-34,4,-10,0,-9,-1,,,Shed,483,2,2007,WD,Normal,121224
4,84,RL,88.22128255953307,11714,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,RRAn,Norm,1Fam,2Story,9,6,2002,2015,Gable,CompShg,VinylSd,VinylSd,BrkFace,224.2725141739949,Gd,TA,PConc,Gd,Gd,Av,GLQ,96,Unf,-37,1063,1001,GasA,Ex,Y,SBrkr,1158,1393,5,2568,0,0,2,1,3,1,Gd,9,Typ,1,TA,BuiltIn,2003.1479479267332,Fin,2,449,TA,TA,Y,-15,175,156,1,3,10,,,,128,5,2010,WD,Normal,286501
5,123,RL,56.29939858762505,12077,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1.5Fin,8,7,1984,1981,Gable,CompShg,HdBoard,HdBoard,None,31.010281463418142,TA,TA,CBlock,Gd,TA,Av,GLQ,1042,Unf,-68,157,925,GasA,Gd,Y,SBrkr,1297,34,23,1630,0,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,1989.0007151487712,Unf,2,737,TA,TA,Y,122,-2,8,16,19,0,,,,-58,6,2009,WD,Normal,265605
6,33,RL,61.841507622750235,5113,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,5,6,1957,2000,Gable,CompShg,HdBoard,VinylSd,BrkFace,14.61412999138349,TA,TA,CBlock,TA,Gd,Av,ALQ,200,BLQ,36,291,854,GasA,Gd,Y,SBrkr,954,-91,-21,751,0,0,1,0,3,1,TA,4,Typ,0,,Detchd,1983.1975598919025,Unf,1,294,TA,TA,Y,167,3,10,4,-13,0,,GdPrv,,17,12,2006,WD,Normal,115775
7,18,RM,62.20357357101644,5106,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,3,5,1912,1945,Gable,CompShg,Wd Sdng,VinylSd,None,10.440040720077306,TA,TA,CBlock,TA,TA,No,BLQ,220,Unf,6,418,791,GasA,Ex,Y,SBrkr,1030,-135,15,876,1,0,0,0,2,1,TA,4,Typ,0,,Detchd,1931.4787366459136,Unf,0,191,TA,Fa,Y,-52,6,78,-1,15,-6,,,,73,5,2010,WD,Abnorml,60124
8,62,RL,,14543,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1.5Fin,6,5,1954,1993,Hip,CompShg,MetalSd,Plywood,BrkFace,169.1995580436762,TA,Gd,CBlock,TA,TA,Gd,Rec,1126,Unf,16,-46,942,GasA,TA,Y,SBrkr,1064,169,18,1613,1,0,1,1,3,1,TA,6,Min2,1,TA,Attchd,2001.2571072736998,Unf,3,932,TA,TA,Y,211,160,-5,4,-5,-12,,MnPrv,,51,6,2010,WD,Normal,184092
9,51,RL,80.56365556470664,10142,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2013,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,112.54313862058086,Gd,TA,PConc,Gd,TA,No,Unf,20,LwQ,573,476,863,GasA,TA,Y,SBrkr,885,694,-11,1531,0,0,2,1,3,1,Gd,8,Typ,0,,Attchd,1995.684314763603,RFn,2,619,TA,TA,Y,93,93,2,190,-7,4,,,,-90,5,2009,WD,Normal,199925
10,9,RL,128.69399395283506,15043,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,5,5,2011,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,12.803753277835686,Gd,TA,PConc,Gd,TA,Av,GLQ,1182,Unf,-22,69,987,GasA,Ex,Y,SBrkr,1181,57,9,1424,1,0,1,1,3,1,Gd,8,Typ,0,,BuiltIn,2016.565737006075,RFn,2,684,TA,TA,Y,170,77,-7,-5,-4,3,,GdPrv,,-163,8,2008,WD,Abnorml,211036
11,164,RM,34.3384558172156,12551,Pave,,Reg,Lvl,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,2Story,7,7,1956,1966,Gable,CompShg,HdBoard,HdBoard,Stone,268.1598618159012,TA,Gd,PConc,TA,Gd,Av,Unf,274,Unf,-9,261,745,GasA,Ex,Y,SBrkr,840,1371,13,2148,1,0,2,1,4,1,Ex,9,Typ,1,,,1978.724260681432,Unf,2,474,TA,TA,Y,5,223,-24,5,141,1,,,,-66,12,2008,WD,Normal,199681
12,9,RL,77.39331959193423,14532,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,1993,1968,Gable,CompShg,Wd Sdng,Plywood,None,44.1236987897972,Gd,TA,CBlock,TA,TA,No,BLQ,395,Unf,13,965,1340,GasA,TA,Y,SBrkr,931,-42,-10,1109,0,0,1,1,3,1,Gd,5,Typ,1,,Attchd,1954.8871008517567,RFn,1,326,TA,TA,Y,-36,-2,100,7,20,514,Gd,,,137,8,2008,WD,Normal,156022
