Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,26,RL,90.60111344534471,12153,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1996,2002,Hip,CompShg,HdBoard,Plywood,BrkFace,184.60559466884533,TA,TA,Slab,Ex,TA,Gd,,193,Unf,-19,271,697,GasA,Ex,Y,SBrkr,1386,13,17,1521,1,0,2,0,3,1,Gd,6,Min2,1,,Attchd,1965.3032340168816,Unf,2,487,TA,TA,Y,34,47,-9,12,2,9,,,,-61,6,2010,WD,Normal,170502
1,208,RL,,2158,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,RRNn,Norm,TwnhsE,2Story,9,6,2011,2010,Gable,CompShg,MetalSd,Plywood,BrkFace,506.97463143157063,Gd,TA,PConc,Ex,TA,Mn,Unf,103,Unf,-8,421,799,GasA,TA,Y,SBrkr,1212,510,6,1743,0,0,2,0,3,1,Ex,9,Typ,0,Gd,BuiltIn,2014.88969194608,Fin,3,704,TA,TA,Y,111,195,0,3,20,-1,,,Shed,272,4,2008,WD,Normal,246971
2,181,FV,40.16601531843109,13743,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Mitchel,RRAn,Norm,1Fam,2Story,6,5,1965,1971,Gable,CompShg,VinylSd,VinylSd,None,60.63713686213766,TA,TA,BrkTil,TA,TA,Mn,BLQ,944,Unf,-51,49,765,GasA,Ex,Y,SBrkr,833,1238,11,1970,1,0,3,0,4,1,TA,9,Typ,1,Gd,BuiltIn,1971.097993578408,RFn,2,357,TA,TA,Y,9,72,14,-8,16,-8,,,,40,8,2008,New,Normal,234705
3,19,RL,82.13312810825205,20994,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,1987,1981,Hip,CompShg,HdBoard,VinylSd,None,36.239799782913636,TA,TA,PConc,Ex,TA,Av,GLQ,1055,Unf,-71,772,1568,GasA,Ex,Y,SBrkr,1718,219,-9,2291,1,0,2,0,3,1,TA,9,Typ,2,Ex,Attchd,1974.1201127270751,Fin,2,599,TA,TA,Y,326,18,5,-12,264,5,,GdPrv,Shed,177,4,2009,WD,Normal,352735
4,5,RL,81.94884006072607,12669,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,RRAe,Norm,1Fam,1Story,5,5,1962,2003,Gable,CompShg,HdBoard,HdBoard,None,1.1720957218296266,TA,TA,CBlock,TA,TA,No,Unf,91,Unf,33,1421,1292,GasA,TA,Y,FuseA,1602,-317,26,820,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1982.3399086619802,Unf,2,332,TA,TA,Y,10,-5,-10,5,-36,6,,,,117,7,2010,WD,Normal,123210
5,30,RL,60.04379463120945,11461,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,3,1988,1967,Hip,CompShg,VinylSd,VinylSd,Stone,5.462711203682294,TA,TA,PConc,Ex,TA,No,Unf,238,LwQ,203,1573,1796,GasA,Gd,Y,SBrkr,1792,-77,-6,1641,0,0,2,0,3,1,TA,8,Typ,1,Ex,Attchd,1996.097530656103,Unf,3,813,TA,TA,Y,3,128,173,1,270,7,,,,-31,10,2006,WD,Normal,236723
6,22,RL,68.09343235713342,10964,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,1Story,5,5,1982,1997,Gable,CompShg,VinylSd,VinylSd,None,-11.789538746323442,Gd,Po,CBlock,TA,TA,No,BLQ,59,Unf,70,1264,1536,GasA,TA,Y,SBrkr,1236,-79,20,1106,0,0,1,0,3,1,TA,5,Typ,0,TA,,1998.187050330401,Unf,1,70,TA,TA,Y,77,-18,-12,2,13,6,,,,-151,1,2009,WD,Normal,136951
7,56,RL,,11767,Pave,,IR1,HLS,AllPub,FR2,Gtl,StoneBr,Norm,Norm,1Fam,1Story,5,5,1959,1990,Hip,CompShg,Plywood,Plywood,None,-40.69271066988344,TA,TA,CBlock,Gd,TA,Av,GLQ,495,Unf,-16,609,1221,GasA,TA,Y,SBrkr,1587,-111,2,1356,1,0,2,0,2,1,TA,6,Typ,1,TA,Detchd,1960.2811599420013,Unf,2,418,TA,TA,Y,-12,-9,2,16,13,2,,,,58,5,2008,WD,Partial,169397
8,56,RL,,20629,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,7,1963,1998,Gable,CompShg,Plywood,Plywood,None,-30.836656395522333,Gd,TA,BrkTil,Gd,TA,No,Unf,-493,Unf,107,1050,1030,GasA,Gd,Y,SBrkr,1100,286,6,1551,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,1969.4725501508003,Unf,1,255,TA,TA,Y,-17,4,123,3,-12,11,,,,-74,4,2006,New,Partial,186430
9,20,RL,81.46753874564807,13848,Pave,,IR1,Low,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,2002,1962,Gable,CompShg,VinylSd,AsphShn,Stone,239.3790628591383,TA,TA,CBlock,Gd,TA,Gd,ALQ,175,Unf,31,510,1102,GasA,TA,Y,SBrkr,913,-43,-29,977,1,0,1,0,3,1,TA,6,Min2,0,,Attchd,1969.6877266779384,Unf,3,532,TA,TA,Y,117,108,13,3,-13,-11,,,,105,6,2007,WD,Normal,181048
10,85,RM,58.7501684758479,8895,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1936,1958,Gable,CompShg,AsbShng,AsbShng,None,-33.61534346461159,TA,TA,PConc,Gd,TA,No,ALQ,831,Unf,-15,74,690,GasA,TA,Y,SBrkr,662,667,15,1084,1,0,1,0,3,1,TA,6,Typ,0,,Detchd,1963.8135745023155,Unf,0,302,TA,TA,Y,-39,19,13,4,-1,5,,,,-6,6,2006,WD,Abnorml,105334
